Label 1 : V ; S1
Label 2 : V ; S1
Label 3 : V ; S1
Label 4 : V ; S1
Label 5 : V ; S1
Label 6 : V ; S1
Label 7 : V ; S1
Label 8 : V ; S1
Label 9 : V ; S1
Label 10 : V ; S1
Label 11 : V ; S1
Label 12 : V ; S1
Label 13 : V ; S1
Label 14 : V ; S1
Label 15 : V ; S1
Label 16 : V ; S1
Label 17 : V ; S1
Label 18 : V ; S1
Label 19 : V ; S1
Label 20 : V ; S1
Label 21 : V ; S1
Label 22 : V ; S1
Label 23 : V ; S1
Label 24 : V ; S1
Label 25 : V ; S1
Label 26 : V ; S1
Label 27 : V ; S1
Label 28 : V ; S1
Label 29 : V ; S1
Label 30 : V ; S1
Label 31 : V ; S1
Label 32 : V ; S1
Label 33 : V ; S1
Label 34 : V ; S1
Label 35 : V ; S1
Label 36 : V ; S1
Label 37 : V ; S1
Label 38 : V ; S1
Label 39 : V ; S1
Label 40 : V ; S1
Label 41 : V ; S1
Label 42 : V ; S1
Label 43 : V ; S1
Label 44 : V ; S1
Label 45 : V ; S1
Label 46 : V ; S1
Label 47 : V ; S1
Label 48 : V ; S1
Label 49 : V ; S1
Label 50 : V ; S1
Label 51 : V ; S1
Label 52 : V ; S1
Label 53 : NV ; S0
Label 54 : NV ; S0
Label 55 : NV ; S0
Label 56 : NV ; S0
Label 57 : NV ; S0
Label 58 : NV ; S0
Label 59 : NV ; S0
Label 60 : NV ; S0
Label 61 : NV ; S0
Label 62 : NV ; S0
Label 63 : NV ; S0
Label 64 : NV ; S0
Label 65 : NV ; S0
Label 66 : NV ; S0
